Airport_Code,Time_Zone
ATL,EST
DFW,CST
DEN,MST
LAX,PST
ORD,CST
JFK,EST
MCO,EST
LAS,PST
CLT,EST
MIA,EST
SEA,PST
EWR,EST
SFO,PST
PHX,MST
IAH,CST
BOS,EST
FLL,EST
MSP,CST
LGA,EST
DTW,EST
PHL,EST
SLC,MST
BWI,EST
DCA,EST
SAN,PST
IAD,EST
TPA,EST
BNA,CST
AUS,CST
MDW,CST
HNL,HAT
DAL,CST
PDX,PST
STL,CST
RDU,CST
HOU,CST
SMF,PST
MSY,CST
SJC,PST
SJU,AST
SNA,PST
MCI,CST
OAK,PST
SAT,CST
RSW,EST
CLE,EST
IND,EST
PIT,EST
CVG,EST
CMH,EST
PBI,EST
OGG,HAST
JAX,EST
ONT,PST
BUR,PST
BDL,EST
CHS,EST
MKE,CST
ANC,AKST
ABQ,MST
OMA,CST
MEM,CST
RIC,EST
BOI,MST
ORF,EST
BUF,EST
SDF,EST
RNO,PST
SRQ,EST
OKC,CST
KOA,HAST
ELP,MST
GEG,PST
TUS,MST
SAV,EST
GRR,EST
LGB,PST
LIH,HAST
PVD,EST
MYR,EST
PSP,PST
TUL,CST
DSM,CST
BHM,CST
SFB,EST
SYR,EST
TYS,EST
ALB,EST
PNS,EST
ROC,EST
GSP,EST
PIE,EST
BZN,MST
FAT,PST
COS,MST
HPN,EST
AVL,EST
VPS,EST
PWM,EST
LIT,CST
MSN,CST
